COUNTRY,ENPRES,RUNOFF,ENETH
ARGENTINA,2.513,0,1.3423
AUSTRIA,2.272,1,1.0121
BRAZIL,5.689,1,2.2195
COLOMBIA,2.132,0,2.5088
COSTA RICA,2.069,1,1.0844
DOMINICAN REPUBLIC,2.8,0,1.7525
EL SALVADOR,3.163,1,1.2465
EQUADOR,5.178,1,2.5974
FINLAND,3.792,0,1.127141569
FRANCE,4.864,1,1.1726
ICELAND,3.602,0,1.06179656
KOREA,3.5537,0,1
PERU,2.757,1,2.7563
PORTUGAL,1.958,1,1.020199959
U.S.A.,1.958,0,1.3554
VENEZUELA,2.194,0,1.9864
