"age","income","education","employed","raw.income","degree","fouryrdegree"
42,44220,14,1,44220,"no 4-year degree",0
62,82752,12,1,82752,"no 4-year degree",0
64,82752,16,1,82752,"4-year degree",1
26,60001,13,1,60001,"no 4-year degree",0
24,60001,13,1,60001,"no 4-year degree",0
36,123814,18,1,123814,"4-year degree",1
38,123814,14,1,123814,"no 4-year degree",0
4,123814,0,NA,123814,"no 4-year degree",0
2,123814,0,NA,123814,"no 4-year degree",0
1,123814,0,NA,123814,"no 4-year degree",0
72,31184,12,NA,31184,"no 4-year degree",0
72,31184,6,NA,31184,"no 4-year degree",0
64,0,12,NA,0,"no 4-year degree",0
67,0,12,NA,0,"no 4-year degree",0
77,19783,12,NA,19783,"no 4-year degree",0
42,72370,13,1,72370,"no 4-year degree",0
31,72370,14,1,72370,"no 4-year degree",0
13,72370,0,NA,72370,"no 4-year degree",0
9,72370,0,NA,72370,"no 4-year degree",0
66,44000,12,NA,44000,"no 4-year degree",0
62,44000,12,1,44000,"no 4-year degree",0
85,400,12,NA,400,"no 4-year degree",0
76,29110,12,1,29110,"no 4-year degree",0
31,273821,16,1,273821,"4-year degree",1
23,273821,16,1,273821,"4-year degree",1
30,113003,8,NA,113003,"no 4-year degree",0
30,113003,8,1,113003,"no 4-year degree",0
6,113003,0,NA,113003,"no 4-year degree",0
3,113003,0,NA,113003,"no 4-year degree",0
0,113003,0,NA,113003,"no 4-year degree",0
63,31182,11,1,31182,"no 4-year degree",0
39,78152,13,1,78152,"no 4-year degree",0
32,78152,16,1,78152,"4-year degree",1
3,78152,0,NA,78152,"no 4-year degree",0
1,78152,0,NA,78152,"no 4-year degree",0
46,142458,13,1,142458,"no 4-year degree",0
52,142458,16,1,142458,"4-year degree",1
21,142458,13,NA,142458,"no 4-year degree",0
18,142458,11,NA,142458,"no 4-year degree",0
62,87630,16,NA,87630,"4-year degree",1
15,87630,8,NA,87630,"no 4-year degree",0
68,87630,20,1,87630,"4-year degree",1
69,90950,13,1,90950,"no 4-year degree",0
78,40720,12,NA,40720,"no 4-year degree",0
80,14544,13,NA,14544,"no 4-year degree",0
75,63827,16,NA,63827,"4-year degree",1
66,114809,13,1,114809,"no 4-year degree",0
64,114809,13,1,114809,"no 4-year degree",0
66,14287,16,NA,14287,"4-year degree",1
79,32289,13,NA,32289,"no 4-year degree",0
62,73513,20,1,73513,"4-year degree",1
68,73513,13,1,73513,"no 4-year degree",0
69,49451,13,NA,49451,"no 4-year degree",0
79,383749,16,NA,383749,"4-year degree",1
70,383749,16,1,383749,"4-year degree",1
75,18354,20,NA,18354,"4-year degree",1
47,102979,18,1,102979,"4-year degree",1
53,102979,18,1,102979,"4-year degree",1
29,125825,13,1,125825,"no 4-year degree",0
32,125825,12,1,125825,"no 4-year degree",0
65,22056,18,NA,22056,"4-year degree",1
80,95664,18,NA,95664,"4-year degree",1
75,95664,18,NA,95664,"4-year degree",1
76,82382,16,NA,82382,"4-year degree",1
75,82382,18,NA,82382,"4-year degree",1
44,46901,16,1,46901,"4-year degree",1
15,46901,8,NA,46901,"no 4-year degree",0
11,46901,0,NA,46901,"no 4-year degree",0
78,18666,12,NA,18666,"no 4-year degree",0
35,116746,16,1,116746,"4-year degree",1
23,116746,12,1,116746,"no 4-year degree",0
76,60625,16,NA,60625,"4-year degree",1
73,60625,20,1,60625,"4-year degree",1
38,129294,16,1,129294,"4-year degree",1
40,129294,20,1,129294,"4-year degree",1
3,129294,0,NA,129294,"no 4-year degree",0
1,129294,0,NA,129294,"no 4-year degree",0
24,18002,16,1,18002,"4-year degree",1
70,177017,13,1,177017,"no 4-year degree",0
48,37201,18,1,37201,"4-year degree",1
12,37201,0,NA,37201,"no 4-year degree",0
7,37201,0,NA,37201,"no 4-year degree",0
54,108317,13,1,108317,"no 4-year degree",0
38,108317,16,1,108317,"4-year degree",1
18,108317,11,NA,108317,"no 4-year degree",0
38,1552,13,0,1552,"no 4-year degree",0
18,1552,11,1,1552,"no 4-year degree",0
15,1552,8,NA,1552,"no 4-year degree",0
4,1552,0,NA,1552,"no 4-year degree",0
2,1552,0,NA,1552,"no 4-year degree",0
51,27906,9,NA,27906,"no 4-year degree",0
44,27906,9,NA,27906,"no 4-year degree",0
78,36484,14,NA,36484,"no 4-year degree",0
33,36484,12,NA,36484,"no 4-year degree",0
62,18683,12,NA,18683,"no 4-year degree",0
68,137744,18,NA,137744,"4-year degree",1
64,137744,18,1,137744,"4-year degree",1
37,30000,11,1,30000,"no 4-year degree",0
85,33192,12,NA,33192,"no 4-year degree",0
85,33192,6,NA,33192,"no 4-year degree",0
68,82791,14,NA,82791,"no 4-year degree",0
67,82791,14,1,82791,"no 4-year degree",0
55,66042,12,NA,66042,"no 4-year degree",0
49,66042,10,1,66042,"no 4-year degree",0
72,33298,16,NA,33298,"4-year degree",1
71,106560,12,1,106560,"no 4-year degree",0
61,106560,18,1,106560,"4-year degree",1
77,19228,12,NA,19228,"no 4-year degree",0
73,128841,13,NA,128841,"no 4-year degree",0
64,128841,16,NA,128841,"4-year degree",1
68,73142,16,NA,73142,"4-year degree",1
80,87406,16,NA,87406,"4-year degree",1
48,106735,16,1,106735,"4-year degree",1
55,106735,12,1,106735,"no 4-year degree",0
15,106735,9,NA,106735,"no 4-year degree",0
11,106735,0,NA,106735,"no 4-year degree",0
63,67497,16,NA,67497,"4-year degree",1
64,67497,13,NA,67497,"no 4-year degree",0
85,20184,12,NA,20184,"no 4-year degree",0
28,8865,11,1,8865,"no 4-year degree",0
11,8865,0,NA,8865,"no 4-year degree",0
6,8865,0,NA,8865,"no 4-year degree",0
2,8865,0,NA,8865,"no 4-year degree",0
30,8865,12,NA,8865,"no 4-year degree",0
44,11382,13,NA,11382,"no 4-year degree",0
38,162204,16,1,162204,"4-year degree",1
40,162204,18,1,162204,"4-year degree",1
70,30604,13,NA,30604,"no 4-year degree",0
69,30604,16,NA,30604,"4-year degree",1
65,115555,12,NA,115555,"no 4-year degree",0
71,115555,14,NA,115555,"no 4-year degree",0
44,115555,12,NA,115555,"no 4-year degree",0
40,115555,12,1,115555,"no 4-year degree",0
76,34023,13,NA,34023,"no 4-year degree",0
44,149802,16,1,149802,"4-year degree",1
53,149802,12,1,149802,"no 4-year degree",0
21,149802,13,1,149802,"no 4-year degree",0
14,149802,0,NA,149802,"no 4-year degree",0
11,149802,0,NA,149802,"no 4-year degree",0
69,312366,16,1,312366,"4-year degree",1
59,312366,20,1,312366,"4-year degree",1
70,90291,12,NA,90291,"no 4-year degree",0
69,90291,12,1,90291,"no 4-year degree",0
74,25338,14,NA,25338,"no 4-year degree",0
44,25338,13,NA,25338,"no 4-year degree",0
85,23898,12,NA,23898,"no 4-year degree",0
59,186917,12,1,186917,"no 4-year degree",0
61,186917,13,1,186917,"no 4-year degree",0
35,186917,12,NA,186917,"no 4-year degree",0
80,186917,12,NA,186917,"no 4-year degree",0
70,113800,13,1,113800,"no 4-year degree",0
60,113800,18,1,113800,"4-year degree",1
43,75152,12,1,75152,"no 4-year degree",0
41,75152,16,1,75152,"4-year degree",1
18,75152,11,1,75152,"no 4-year degree",0
15,75152,9,1,75152,"no 4-year degree",0
58,105823,11,1,105823,"no 4-year degree",0
61,105823,12,1,105823,"no 4-year degree",0
39,160222,13,1,160222,"no 4-year degree",0
43,160222,13,1,160222,"no 4-year degree",0
20,160222,13,1,160222,"no 4-year degree",0
16,160222,9,1,160222,"no 4-year degree",0
67,324808,16,1,324808,"4-year degree",1
57,324808,16,NA,324808,"4-year degree",1
38,44005,13,1,44005,"no 4-year degree",0
6,44005,0,NA,44005,"no 4-year degree",0
37,44005,12,1,44005,"no 4-year degree",0
31,28476,14,NA,28476,"no 4-year degree",0
2,28476,0,NA,28476,"no 4-year degree",0
35,109801,14,1,109801,"no 4-year degree",0
30,109801,16,1,109801,"4-year degree",1
2,109801,0,NA,109801,"no 4-year degree",0
45,160407,14,1,160407,"no 4-year degree",0
20,160407,12,1,160407,"no 4-year degree",0
20,160407,12,NA,160407,"no 4-year degree",0
66,40070,16,NA,40070,"4-year degree",1
56,40070,12,1,40070,"no 4-year degree",0
80,52560,18,NA,52560,"4-year degree",1
76,52560,12,NA,52560,"no 4-year degree",0
63,56018,13,NA,56018,"no 4-year degree",0
60,56018,14,1,56018,"no 4-year degree",0
35,56018,12,NA,56018,"no 4-year degree",0
60,98063,13,1,98063,"no 4-year degree",0
63,98063,12,1,98063,"no 4-year degree",0
68,47382,12,NA,47382,"no 4-year degree",0
76,47382,12,NA,47382,"no 4-year degree",0
48,47382,12,NA,47382,"no 4-year degree",0
85,11263,8,NA,11263,"no 4-year degree",0
85,19922,13,NA,19922,"no 4-year degree",0
85,27169,18,NA,27169,"4-year degree",1
45,40010,12,1,40010,"no 4-year degree",0
61,40548,13,NA,40548,"no 4-year degree",0
58,40548,12,NA,40548,"no 4-year degree",0
57,27084,14,NA,27084,"no 4-year degree",0
71,248385,16,1,248385,"4-year degree",1
74,248385,16,1,248385,"4-year degree",1
34,24034,13,1,24034,"no 4-year degree",0
13,24034,0,NA,24034,"no 4-year degree",0
9,24034,0,NA,24034,"no 4-year degree",0
53,22898,14,NA,22898,"no 4-year degree",0
58,22898,12,NA,22898,"no 4-year degree",0
46,31608,12,NA,31608,"no 4-year degree",0
16,31608,10,NA,31608,"no 4-year degree",0
14,31608,0,NA,31608,"no 4-year degree",0
85,14400,12,NA,14400,"no 4-year degree",0
33,29000,16,1,29000,"4-year degree",1
25,29000,16,0,29000,"4-year degree",1
33,40000,12,0,40000,"no 4-year degree",0
14,40000,0,NA,40000,"no 4-year degree",0
57,40000,18,1,40000,"4-year degree",1
35,40000,12,1,40000,"no 4-year degree",0
75,32299,12,NA,32299,"no 4-year degree",0
79,32299,12,NA,32299,"no 4-year degree",0
72,12000,4,NA,12000,"no 4-year degree",0
61,183580,12,1,183580,"no 4-year degree",0
61,183580,14,NA,183580,"no 4-year degree",0
38,69601,13,NA,69601,"no 4-year degree",0
3,69601,0,NA,69601,"no 4-year degree",0
0,69601,0,NA,69601,"no 4-year degree",0
34,69601,13,NA,69601,"no 4-year degree",0
48,139384,12,NA,139384,"no 4-year degree",0
55,139384,16,1,139384,"4-year degree",1
20,139384,16,1,139384,"4-year degree",1
18,139384,12,1,139384,"no 4-year degree",0
80,16560,8,NA,16560,"no 4-year degree",0
51,37501,12,1,37501,"no 4-year degree",0
37,37501,11,1,37501,"no 4-year degree",0
44,146026,16,1,146026,"4-year degree",1
53,146026,16,1,146026,"4-year degree",1
63,242032,12,1,242032,"no 4-year degree",0
64,242032,12,1,242032,"no 4-year degree",0
31,47500,12,NA,47500,"no 4-year degree",0
41,47500,13,1,47500,"no 4-year degree",0
44,65028,14,NA,65028,"no 4-year degree",0
43,65028,12,NA,65028,"no 4-year degree",0
16,65028,11,NA,65028,"no 4-year degree",0
61,40000,12,0,40000,"no 4-year degree",0
58,40000,12,1,40000,"no 4-year degree",0
26,40000,12,NA,40000,"no 4-year degree",0
73,133143,14,NA,133143,"no 4-year degree",0
72,133143,13,NA,133143,"no 4-year degree",0
65,28363,11,NA,28363,"no 4-year degree",0
67,28363,10,NA,28363,"no 4-year degree",0
41,28363,9,NA,28363,"no 4-year degree",0
16,28363,10,NA,28363,"no 4-year degree",0
26,27602,13,1,27602,"no 4-year degree",0
22,27602,12,NA,27602,"no 4-year degree",0
80,40765,12,NA,40765,"no 4-year degree",0
80,40765,12,NA,40765,"no 4-year degree",0
79,57409,12,NA,57409,"no 4-year degree",0
29,25000,12,0,25000,"no 4-year degree",0
27,25000,12,NA,25000,"no 4-year degree",0
39,264146,18,1,264146,"4-year degree",1
38,264146,18,NA,264146,"4-year degree",1
8,264146,0,NA,264146,"no 4-year degree",0
6,264146,0,NA,264146,"no 4-year degree",0
71,58061,12,NA,58061,"no 4-year degree",0
70,58061,12,NA,58061,"no 4-year degree",0
37,111800,16,1,111800,"4-year degree",1
40,111800,16,1,111800,"4-year degree",1
8,111800,0,NA,111800,"no 4-year degree",0
5,111800,0,NA,111800,"no 4-year degree",0
77,26982,8,NA,26982,"no 4-year degree",0
64,38017,14,1,38017,"no 4-year degree",0
49,152043,14,1,152043,"no 4-year degree",0
50,152043,12,1,152043,"no 4-year degree",0
76,111315,20,NA,111315,"4-year degree",1
73,111315,20,NA,111315,"4-year degree",1
80,90940,16,NA,90940,"4-year degree",1
85,90940,12,NA,90940,"no 4-year degree",0
53,9540,12,NA,9540,"no 4-year degree",0
80,29673,12,NA,29673,"no 4-year degree",0
25,159008,20,1,159008,"4-year degree",1
26,159008,16,1,159008,"4-year degree",1
51,104412,16,1,104412,"4-year degree",1
52,104412,12,1,104412,"no 4-year degree",0
72,58058,12,NA,58058,"no 4-year degree",0
74,58058,12,NA,58058,"no 4-year degree",0
48,36001,13,1,36001,"no 4-year degree",0
79,17622,10,NA,17622,"no 4-year degree",0
75,26983,14,0,26983,"no 4-year degree",0
25,47598,14,1,47598,"no 4-year degree",0
1,47598,0,NA,47598,"no 4-year degree",0
26,47598,13,1,47598,"no 4-year degree",0
57,68002,13,1,68002,"no 4-year degree",0
66,153097,14,1,153097,"no 4-year degree",0
57,153097,14,NA,153097,"no 4-year degree",0
76,250324,12,NA,250324,"no 4-year degree",0
18,250324,11,NA,250324,"no 4-year degree",0
42,250324,16,1,250324,"4-year degree",1
41,250324,12,1,250324,"no 4-year degree",0
44,196105,16,1,196105,"4-year degree",1
44,196105,16,1,196105,"4-year degree",1
50,186254,16,1,186254,"4-year degree",1
51,186254,14,1,186254,"no 4-year degree",0
21,186254,13,1,186254,"no 4-year degree",0
18,186254,13,1,186254,"no 4-year degree",0
35,94273,16,1,94273,"4-year degree",1
46,94273,13,NA,94273,"no 4-year degree",0
14,94273,0,NA,94273,"no 4-year degree",0
53,144391,16,1,144391,"4-year degree",1
25,144391,16,0,144391,"4-year degree",1
74,144391,16,NA,144391,"4-year degree",1
37,75200,13,1,75200,"no 4-year degree",0
15,75200,8,NA,75200,"no 4-year degree",0
15,75200,8,1,75200,"no 4-year degree",0
9,75200,0,NA,75200,"no 4-year degree",0
45,80508,16,1,80508,"4-year degree",1
16,80508,9,1,80508,"no 4-year degree",0
14,80508,0,NA,80508,"no 4-year degree",0
41,139661,16,1,139661,"4-year degree",1
41,139661,13,1,139661,"no 4-year degree",0
15,139661,9,NA,139661,"no 4-year degree",0
13,139661,0,NA,139661,"no 4-year degree",0
16,139661,9,NA,139661,"no 4-year degree",0
74,35383,12,NA,35383,"no 4-year degree",0
85,57942,13,NA,57942,"no 4-year degree",0
85,57942,16,NA,57942,"4-year degree",1
65,54896,12,NA,54896,"no 4-year degree",0
65,54896,12,1,54896,"no 4-year degree",0
54,156409,12,1,156409,"no 4-year degree",0
58,156409,12,1,156409,"no 4-year degree",0
85,25361,4,NA,25361,"no 4-year degree",0
52,256645,16,1,256645,"4-year degree",1
51,256645,16,1,256645,"4-year degree",1
16,256645,10,0,256645,"no 4-year degree",0
22,16300,13,1,16300,"no 4-year degree",0
49,36123,13,1,36123,"no 4-year degree",0
75,71666,12,NA,71666,"no 4-year degree",0
68,71666,16,NA,71666,"4-year degree",1
36,49521,16,1,49521,"4-year degree",1
5,49521,0,NA,49521,"no 4-year degree",0
51,70001,14,1,70001,"no 4-year degree",0
61,440820,13,1,440820,"no 4-year degree",0
52,440820,16,1,440820,"4-year degree",1
80,32000,13,NA,32000,"no 4-year degree",0
63,126906,12,1,126906,"no 4-year degree",0
63,126906,13,1,126906,"no 4-year degree",0
72,97036,16,NA,97036,"4-year degree",1
71,97036,12,NA,97036,"no 4-year degree",0
59,40010,12,1,40010,"no 4-year degree",0
12,40010,0,NA,40010,"no 4-year degree",0
66,127648,13,NA,127648,"no 4-year degree",0
66,127648,13,NA,127648,"no 4-year degree",0
76,43146,12,NA,43146,"no 4-year degree",0
77,43146,12,NA,43146,"no 4-year degree",0
54,59058,12,1,59058,"no 4-year degree",0
61,59058,12,1,59058,"no 4-year degree",0
18,59058,11,NA,59058,"no 4-year degree",0
37,6479,13,NA,6479,"no 4-year degree",0
16,6479,10,NA,6479,"no 4-year degree",0
14,6479,0,NA,6479,"no 4-year degree",0
10,6479,0,NA,6479,"no 4-year degree",0
39,6479,11,1,6479,"no 4-year degree",0
74,18302,8,NA,18302,"no 4-year degree",0
54,43100,16,1,43100,"4-year degree",1
31,43100,13,NA,43100,"no 4-year degree",0
42,230491,14,1,230491,"no 4-year degree",0
44,230491,14,1,230491,"no 4-year degree",0
22,230491,14,1,230491,"no 4-year degree",0
20,230491,13,1,230491,"no 4-year degree",0
57,44160,12,NA,44160,"no 4-year degree",0
56,44160,12,1,44160,"no 4-year degree",0
63,16700,12,NA,16700,"no 4-year degree",0
31,68586,12,1,68586,"no 4-year degree",0
25,68586,14,1,68586,"no 4-year degree",0
25,68586,12,NA,68586,"no 4-year degree",0
41,110212,14,1,110212,"no 4-year degree",0
38,110212,12,1,110212,"no 4-year degree",0
18,110212,11,1,110212,"no 4-year degree",0
15,110212,8,NA,110212,"no 4-year degree",0
55,63067,12,1,63067,"no 4-year degree",0
60,63067,12,NA,63067,"no 4-year degree",0
29,19500,11,1,19500,"no 4-year degree",0
8,19500,0,NA,19500,"no 4-year degree",0
5,19500,0,NA,19500,"no 4-year degree",0
26,19500,9,1,19500,"no 4-year degree",0
52,579998,20,1,579998,"4-year degree",1
54,579998,20,1,579998,"4-year degree",1
19,579998,13,1,579998,"no 4-year degree",0
17,579998,10,NA,579998,"no 4-year degree",0
15,579998,8,NA,579998,"no 4-year degree",0
15,579998,8,NA,579998,"no 4-year degree",0
85,11182,11,NA,11182,"no 4-year degree",0
50,11182,12,NA,11182,"no 4-year degree",0
50,11182,12,NA,11182,"no 4-year degree",0
74,147854,18,NA,147854,"4-year degree",1
76,147854,16,NA,147854,"4-year degree",1
53,104085,16,1,104085,"4-year degree",1
58,104085,18,1,104085,"4-year degree",1
21,104085,12,NA,104085,"no 4-year degree",0
68,68073,10,NA,68073,"no 4-year degree",0
56,68073,12,NA,68073,"no 4-year degree",0
62,75414,12,NA,75414,"no 4-year degree",0
65,75414,20,1,75414,"4-year degree",1
46,148900,12,1,148900,"no 4-year degree",0
43,148900,12,1,148900,"no 4-year degree",0
58,100214,12,1,100214,"no 4-year degree",0
56,100214,13,1,100214,"no 4-year degree",0
25,100214,13,1,100214,"no 4-year degree",0
35,133560,18,1,133560,"4-year degree",1
35,133560,16,1,133560,"4-year degree",1
7,133560,0,NA,133560,"no 4-year degree",0
3,133560,0,NA,133560,"no 4-year degree",0
56,27534,18,NA,27534,"4-year degree",1
56,27534,18,NA,27534,"4-year degree",1
22,89739,13,1,89739,"no 4-year degree",0
20,89739,13,NA,89739,"no 4-year degree",0
18,89739,12,1,89739,"no 4-year degree",0
42,158054,16,1,158054,"4-year degree",1
8,158054,0,NA,158054,"no 4-year degree",0
47,41183,12,1,41183,"no 4-year degree",0
43,41183,12,1,41183,"no 4-year degree",0
70,60600,12,NA,60600,"no 4-year degree",0
85,60600,12,NA,60600,"no 4-year degree",0
85,21730,13,NA,21730,"no 4-year degree",0
70,150985,11,1,150985,"no 4-year degree",0
69,150985,13,1,150985,"no 4-year degree",0
73,92370,20,NA,92370,"4-year degree",1
70,92370,16,0,92370,"4-year degree",1
73,93319,12,NA,93319,"no 4-year degree",0
43,93319,12,NA,93319,"no 4-year degree",0
58,90031,16,1,90031,"4-year degree",1
80,56008,14,NA,56008,"no 4-year degree",0
43,56008,16,1,56008,"4-year degree",1
70,102492,12,NA,102492,"no 4-year degree",0
85,102492,12,NA,102492,"no 4-year degree",0
68,102492,12,NA,102492,"no 4-year degree",0
65,28800,8,0,28800,"no 4-year degree",0
28,72005,12,1,72005,"no 4-year degree",0
8,72005,0,NA,72005,"no 4-year degree",0
5,72005,0,NA,72005,"no 4-year degree",0
3,72005,0,NA,72005,"no 4-year degree",0
58,79149,12,NA,79149,"no 4-year degree",0
62,79149,12,1,79149,"no 4-year degree",0
67,68636,12,NA,68636,"no 4-year degree",0
63,68636,13,NA,68636,"no 4-year degree",0
24,68636,9,NA,68636,"no 4-year degree",0
44,68636,9,NA,68636,"no 4-year degree",0
12,68636,0,NA,68636,"no 4-year degree",0
49,68636,12,1,68636,"no 4-year degree",0
13,68636,0,NA,68636,"no 4-year degree",0
45,68636,12,NA,68636,"no 4-year degree",0
50,47906,14,NA,47906,"no 4-year degree",0
56,47906,13,NA,47906,"no 4-year degree",0
19,47906,13,1,47906,"no 4-year degree",0
52,13106,16,1,13106,"4-year degree",1
10,13106,0,NA,13106,"no 4-year degree",0
43,157936,16,1,157936,"4-year degree",1
41,157936,18,1,157936,"4-year degree",1
15,157936,9,NA,157936,"no 4-year degree",0
13,157936,0,NA,157936,"no 4-year degree",0
45,51200,13,1,51200,"no 4-year degree",0
14,51200,0,NA,51200,"no 4-year degree",0
64,51200,14,1,51200,"no 4-year degree",0
42,117530,12,1,117530,"no 4-year degree",0
16,117530,9,NA,117530,"no 4-year degree",0
32,117530,16,1,117530,"4-year degree",1
70,70189,13,NA,70189,"no 4-year degree",0
66,70189,12,1,70189,"no 4-year degree",0
61,59330,16,1,59330,"4-year degree",1
29,59330,16,1,59330,"4-year degree",1
58,62044,12,1,62044,"no 4-year degree",0
58,62044,12,1,62044,"no 4-year degree",0
57,30000,12,0,30000,"no 4-year degree",0
30,70414,13,1,70414,"no 4-year degree",0
30,70414,12,1,70414,"no 4-year degree",0
3,70414,0,NA,70414,"no 4-year degree",0
63,8100,12,1,8100,"no 4-year degree",0
58,8100,12,NA,8100,"no 4-year degree",0
45,55536,14,1,55536,"no 4-year degree",0
20,55536,13,1,55536,"no 4-year degree",0
70,150985,13,1,150985,"no 4-year degree",0
69,150985,11,1,150985,"no 4-year degree",0
40,77526,13,1,77526,"no 4-year degree",0
17,77526,10,NA,77526,"no 4-year degree",0
15,77526,8,NA,77526,"no 4-year degree",0
35,77526,12,NA,77526,"no 4-year degree",0
29,56763,12,1,56763,"no 4-year degree",0
28,56763,12,1,56763,"no 4-year degree",0
7,56763,0,NA,56763,"no 4-year degree",0
4,56763,0,NA,56763,"no 4-year degree",0
32,76400,12,1,76400,"no 4-year degree",0
13,76400,0,NA,76400,"no 4-year degree",0
2,76400,0,NA,76400,"no 4-year degree",0
41,76400,12,NA,76400,"no 4-year degree",0
39,91552,12,1,91552,"no 4-year degree",0
36,91552,12,1,91552,"no 4-year degree",0
6,91552,0,NA,91552,"no 4-year degree",0
39,65102,13,NA,65102,"no 4-year degree",0
42,65102,16,1,65102,"4-year degree",1
6,65102,0,NA,65102,"no 4-year degree",0
5,65102,0,NA,65102,"no 4-year degree",0
52,208298,14,1,208298,"no 4-year degree",0
23,208298,12,1,208298,"no 4-year degree",0
17,208298,10,1,208298,"no 4-year degree",0
17,208298,10,1,208298,"no 4-year degree",0
38,121097,13,1,121097,"no 4-year degree",0
35,121097,16,NA,121097,"4-year degree",1
17,121097,10,1,121097,"no 4-year degree",0
13,121097,0,NA,121097,"no 4-year degree",0
1,121097,0,NA,121097,"no 4-year degree",0
75,44882,12,NA,44882,"no 4-year degree",0
63,9282,12,NA,9282,"no 4-year degree",0
72,7182,12,NA,7182,"no 4-year degree",0
85,43574,18,NA,43574,"4-year degree",1
85,43574,16,NA,43574,"4-year degree",1
79,151121,14,1,151121,"no 4-year degree",0
80,151121,12,NA,151121,"no 4-year degree",0
39,86501,13,1,86501,"no 4-year degree",0
36,86501,12,1,86501,"no 4-year degree",0
19,86501,11,NA,86501,"no 4-year degree",0
34,185503,20,1,185503,"4-year degree",1
31,185503,20,1,185503,"4-year degree",1
3,185503,0,NA,185503,"no 4-year degree",0
1,185503,0,NA,185503,"no 4-year degree",0
37,152521,18,1,152521,"4-year degree",1
37,152521,16,NA,152521,"4-year degree",1
1,152521,0,NA,152521,"no 4-year degree",0
29,74010,18,1,74010,"4-year degree",1
30,264412,20,NA,264412,"4-year degree",1
29,264412,18,1,264412,"4-year degree",1
85,99699,13,NA,99699,"no 4-year degree",0
76,99699,14,NA,99699,"no 4-year degree",0
46,99699,14,NA,99699,"no 4-year degree",0
55,129745,18,1,129745,"4-year degree",1
55,129745,18,1,129745,"4-year degree",1
21,129745,14,NA,129745,"no 4-year degree",0
67,31561,16,NA,31561,"4-year degree",1
66,31561,16,NA,31561,"4-year degree",1
26,70000,13,1,70000,"no 4-year degree",0
37,132000,18,1,132000,"4-year degree",1
37,132000,18,1,132000,"4-year degree",1
4,132000,0,NA,132000,"no 4-year degree",0
1,132000,0,NA,132000,"no 4-year degree",0
49,91030,12,1,91030,"no 4-year degree",0
50,91030,12,1,91030,"no 4-year degree",0
18,91030,11,1,91030,"no 4-year degree",0
14,91030,0,NA,91030,"no 4-year degree",0
58,250091,20,1,250091,"4-year degree",1
64,250091,16,NA,250091,"4-year degree",1
43,94222,18,NA,94222,"4-year degree",1
33,94222,18,1,94222,"4-year degree",1
2,94222,0,NA,94222,"no 4-year degree",0
33,52002,18,1,52002,"4-year degree",1
0,52002,0,NA,52002,"no 4-year degree",0
34,52002,16,1,52002,"4-year degree",1
80,21809,12,NA,21809,"no 4-year degree",0
67,91642,18,NA,91642,"4-year degree",1
72,49426,16,NA,49426,"4-year degree",1
62,49426,18,NA,49426,"4-year degree",1
80,141424,16,NA,141424,"4-year degree",1
77,141424,18,NA,141424,"4-year degree",1
85,74707,14,NA,74707,"no 4-year degree",0
61,74707,13,1,74707,"no 4-year degree",0
78,51081,12,NA,51081,"no 4-year degree",0
80,51081,12,1,51081,"no 4-year degree",0
74,24088,18,NA,24088,"4-year degree",1
73,24088,18,NA,24088,"4-year degree",1
80,26264,13,NA,26264,"no 4-year degree",0
66,248654,14,NA,248654,"no 4-year degree",0
63,248654,16,NA,248654,"4-year degree",1
62,76060,16,1,76060,"4-year degree",1
37,76060,14,0,76060,"no 4-year degree",0
7,76060,0,NA,76060,"no 4-year degree",0
29,123101,12,1,123101,"no 4-year degree",0
61,123101,12,1,123101,"no 4-year degree",0
61,123101,12,NA,123101,"no 4-year degree",0
42,85328,12,1,85328,"no 4-year degree",0
43,85328,12,1,85328,"no 4-year degree",0
3,85328,0,NA,85328,"no 4-year degree",0
70,245334,20,1,245334,"4-year degree",1
52,92102,13,1,92102,"no 4-year degree",0
52,92102,13,1,92102,"no 4-year degree",0
33,77815,12,1,77815,"no 4-year degree",0
9,77815,0,NA,77815,"no 4-year degree",0
7,77815,0,NA,77815,"no 4-year degree",0
2,77815,0,NA,77815,"no 4-year degree",0
46,77815,12,1,77815,"no 4-year degree",0
59,177013,16,0,177013,"4-year degree",1
45,177013,13,1,177013,"no 4-year degree",0
39,97255,16,1,97255,"4-year degree",1
41,97255,16,1,97255,"4-year degree",1
10,97255,0,NA,97255,"no 4-year degree",0
9,97255,0,NA,97255,"no 4-year degree",0
6,97255,0,NA,97255,"no 4-year degree",0
4,97255,0,NA,97255,"no 4-year degree",0
59,65712,16,1,65712,"4-year degree",1
85,41756,20,NA,41756,"4-year degree",1
85,41756,16,NA,41756,"4-year degree",1
49,70613,12,1,70613,"no 4-year degree",0
75,70613,4,NA,70613,"no 4-year degree",0
54,66211,16,1,66211,"4-year degree",1
52,66211,16,1,66211,"4-year degree",1
17,66211,10,NA,66211,"no 4-year degree",0
76,78109,14,NA,78109,"no 4-year degree",0
78,78109,20,NA,78109,"4-year degree",1
63,9200,12,NA,9200,"no 4-year degree",0
37,9200,12,NA,9200,"no 4-year degree",0
41,110010,16,1,110010,"4-year degree",1
6,110010,0,NA,110010,"no 4-year degree",0
4,110010,0,NA,110010,"no 4-year degree",0
37,110010,16,1,110010,"4-year degree",1
55,285007,20,1,285007,"4-year degree",1
54,285007,16,1,285007,"4-year degree",1
78,73984,16,NA,73984,"4-year degree",1
64,112226,14,1,112226,"no 4-year degree",0
